id,title,text,tags
doc_001,"Q4 2024 Revenue Summary","Our Q4 2024 revenue reached $12.4M, up 18% year-over-year. North America led growth at 22%. Key drivers were enterprise subscriptions and professional services. We expect similar momentum in Q1 2025.","finance;quarterly"
doc_002,"Sustainability Report 2023","In 2023 we reduced Scope 1 and 2 emissions by 24% and committed to net zero by 2035. Initiatives included solar installations at three sites and a shift to renewable energy contracts. Water usage decreased 12%.","sustainability;esg"
doc_003,"Corporate Strategy Brief 2025","Strategic priorities for 2025: expand in APAC, double down on AI-powered products, and strengthen partner channels. We will invest $50M in R&D and open two new regional hubs.","strategy;executive"
doc_004,"Enterprise Product Roadmap","The enterprise platform will add advanced analytics in Q2, role-based access in Q3, and SSO with SAML/OIDC by year-end. Customer feedback drove the prioritization of audit logs and compliance reports.","product;roadmap"
doc_005,"Board Meeting Minutes January 2025","The board approved the FY25 budget and the acquisition of TechFlow Inc. for $80M. Compensation committee reviewed executive pay. Next meeting is scheduled for March 15.","governance;minutes"
doc_006,"HR Diversity and Inclusion Update","Headcount grew to 1,200 with 42% women in leadership. We launched mentorship programs and unconscious bias training. Goals for 2025 include 45% representation and pay equity certification.","hr;diversity"
doc_007,"Cybersecurity Annual Review","We completed a penetration test and achieved SOC 2 Type II. Zero critical vulnerabilities in production. Phishing simulations improved click rates from 8% to 3%. MFA is now mandatory for all employees.","security;compliance"
doc_008,"APAC Market Analysis","APAC revenue grew 31% in 2024. Japan and Australia are the largest markets. We plan to open an office in Singapore and hire 50 local staff. Localization of product and support is a key focus.","markets;apac"
doc_009,"Customer Success Metrics 2024","NPS improved from 52 to 58. Churn decreased to 4.2% annually. Top drivers of satisfaction were product reliability and support response time. We will invest in self-service and proactive health monitoring.","customers;nps"
doc_010,"R&D and Innovation Highlights","We filed 14 patents in 2024 and shipped the AI assistant and workflow automation modules. Partnerships with two universities will focus on NLP and computer vision. R&D spend was 12% of revenue.","innovation;rd"
